name,smiles,e
Water,O,78.3553
Acetonitrile,CC#N,35.688
Methanol,CO,32.613
Ethanol,CCO,24.852
IsoQuinoline,C1=CC=C2C=NC=CC2=C1,11
Quinoline,C1=CC=C2C(=C1)C=CC=N2,9.16
Chloroform,ClC(Cl)Cl,4.7113
DiethylEther,CCOCC,4.24
Dichloromethane,ClCCl,8.93
DiChloroEthane,C(CCl)Cl,10.125
CarbonTetraChloride,C(Cl)(Cl)(Cl)Cl,2.228
Benzene,c1ccccc1,2.2706
Toluene,Cc1ccccc1,2.3741
ChloroBenzene,Clc1ccccc1,5.6968
NitroMethane,C[N+]([O-])=O,36.562
Heptane,CCCCCCC,1.9113
CycloHexane,C1CCCCC1,2.0165
Aniline,Nc1ccccc1,6.8882
Acetone,CC(C)=O,20.493
TetraHydroFuran,C1CCOC1,7.4257
DiMethylSulfoxide,C[S](C)=O,46.826
Argon,[Ar],1.43
Krypton,[Kr],1.519
Xenon,[Xe],1.706
n-Octanol,CCCCCCCCO,9.8629
"1,1,1-TriChloroEthane",CC(Cl)(Cl)Cl,7.0826
"1,1,2-TriChloroEthane",ClCC(Cl)Cl,7.1937
"1,2,4-TriMethylBenzene",Cc1ccc(C)c(C)c1,2.3653
"1,2-DiBromoEthane",BrCCBr,4.9313
"1,2-EthaneDiol",OCCO,40.245
"1,4-Dioxane",C1COCCO1,2.2099
1-Bromo-2-MethylPropane,CC(C)CBr,7.7792
1-BromoOctane,CCCCCCCCBr,5.0244
1-BromoPentane,CCCCCBr,6.269
1-BromoPropane,CCCBr,8.0496
1-Butanol,CCCCO,17.332
1-ChloroHexane,CCCCCCCl,5.9491
1-ChloroPentane,CCCCCCl,6.5022
1-ChloroPropane,CCCCl,8.3548
1-Decanol,CCCCCCCCCCO,7.5305
1-FluoroOctane,CCCCCCCCF,3.89
1-Heptanol,CCCCCCCO,11.321
1-Hexanol,CCCCCCO,12.51
1-Hexene,CCCCC=C,2.0717
1-Hexyne,CCCCC#C,2.615
1-IodoButane,CCCCI,6.173
1-IodoHexaDecane,CCCCCCCCCCCCCCCCI,3.5338
1-IodoPentane,CCCCCI,5.6973
1-IodoPropane,CCCI,6.9626
1-NitroPropane,CCC[N+]([O-])=O,23.73
1-Nonanol,CCCCCCCCCO,8.5991
1-Pentanol,CCCCCO,15.13
1-Pentene,CCCC=C,1.9905
1-Propanol,CCCO,20.524
"2,2,2-TriFluoroEthanol",OCC(F)(F)F,26.726
"2,2,4-TriMethylPentane",CC(C)CC(C)(C)C,1.9358
"2,4-DiMethylPentane",CC(C)CC(C)C,1.8939
"2,4-DiMethylPyridine",Cc1ccnc(C)c1,9.4176
"2,6-DiMethylPyridine",Cc1cccc(C)n1,7.1735
2-BromoPropane,CC(C)Br,9.361
2-Butanol,CCC(C)O,15.944
2-ChloroButane,CCC(C)Cl,8.393
2-Heptanone,CCCCCC(C)=O,11.658
2-Hexanone,CCCCC(C)=O,14.136
2-MethoxyEthanol,COCCO,17.2
2-Methyl-1-Propanol,CC(C)CO,16.777
2-Methyl-2-Propanol,CC(C)(C)O,12.47
2-MethylPentane,CCCC(C)C,1.89
2-MethylPyridine,Cc1ccccn1,9.9533
2-NitroPropane,CC(C)[N+]([O-])=O,25.654
2-Octanone,CCCCCCC(C)=O,9.4678
2-Pentanone,CCCC(C)=O,15.2
2-Propanol,CC(C)O,19.264
2-Propen-1-ol,OCC=C,19.011
3-MethylPyridine,Cc1cccnc1,11.645
3-Pentanone,CCC(=O)CC,16.78
4-Heptanone,CCCC(=O)CCC,12.257
4-Methyl-2-Pentanone,CC(C)CC(C)=O,12.887
4-MethylPyridine,Cc1ccncc1,11.957
5-Nonanone,CCCCC(=O)CCCC,10.6
AceticAcid,CC(O)=O,6.2528
AcetoPhenone,CC(=O)c1ccccc1,17.44
a-ChloroToluene,ClCc1ccccc1,6.7175
Anisole,COc1ccccc1,4.2247
Benzaldehyde,O=Cc1ccccc1,18.22
BenzoNitrile,N#Cc1ccccc1,25.592
BenzylAlcohol,OCc1ccccc1,12.457
BromoBenzene,Brc1ccccc1,5.3954
BromoEthane,CCBr,9.01
Bromoform,BrC(Br)Br,4.2488
Butanal,CCCC=O,13.45
ButanoicAcid,CCCC(O)=O,2.9931
Butanone,CCC(C)=O,18.246
ButanoNitrile,CCCC#N,24.291
ButylAmine,CCCCN,4.6178
ButylEthanoate,CCCCOC(C)=O,4.9941
CarbonDiSulfide,S=C=S,2.6105
"Cis-1,2-DiMethylCycloHexane",C[C@@H]1CCCC[C@@H]1C,2.06
Cis-Decalin,C1CC[C@@H]2CCCC[C@@H]2C1,2.2139
CycloHexanone,O=C1CCCCC1,15.619
CycloPentane,C1CCCC1,1.9608
CycloPentanol,OC1CCCC1,16.989
CycloPentanone,O=C1CCCC1,13.58
Decalin-mixture,C1CCC2CCCCC2C1,2.196
DiBromomEthane,BrCBr,7.2273
DiButylEther,CCCCOCCCC,3.0473
DiEthylAmine,CCNCC,3.5766
DiEthylSulfide,CCSCC,5.723
DiIodoMethane,ICI,5.32
DiIsoPropylEther,CC(C)OC(C)C,3.38
DiMethylDiSulfide,CSSC,9.6
DiPhenylEther,O(c1ccccc1)c2ccccc2,3.73
DiPropylAmine,CCCNCCC,2.9112
"e-1,2-DiChloroEthene",Cl\C=C\Cl,2.14
e-2-Pentene,CC/C=C/C,2.051
EthaneThiol,CCS,6.667
EthylBenzene,CCc1ccccc1,2.4339
EthylEthanoate,CCOC(C)=O,5.9867
EthylMethanoate,CCOC=O,8.331
EthylPhenylEther,CCOc1ccccc1,4.1797
FluoroBenzene,Fc1ccccc1,5.42
Formamide,NC=O,108.94
FormicAcid,OC=O,51.1
HexanoicAcid,CCCCCC(O)=O,2.6
IodoBenzene,Ic1ccccc1,4.547
IodoEthane,CCI,7.6177
IodoMethane,CI,6.865
IsoPropylBenzene,CC(C)c1ccccc1,2.3712
m-Cresol,Cc1cccc(O)c1,12.44
Mesitylene,Cc1cc(C)cc(C)c1,2.265
MethylBenzoate,COC(=O)c1ccccc1,6.7367
MethylButanoate,CCCC(=O)OC,5.5607
MethylCycloHexane,CC1CCCCC1,2.024
MethylEthanoate,COC(C)=O,6.8615
MethylMethanoate,COC=O,8.8377
MethylPropanoate,CCC(=O)OC,6.0777
m-Xylene,Cc1cccc(C)c1,2.3478
n-ButylBenzene,CCCCc1ccccc1,2.36
n-Decane,CCCCCCCCCC,1.9846
n-Dodecane,CCCCCCCCCCCC,2.006
n-Hexadecane,CCCCCCCCCCCCCCCC,2.0402
n-Hexane,CCCCCC,1.8819
NitroBenzene,[O-][N+](=O)c1ccccc1,34.809
NitroEthane,CC[N+]([O-])=O,28.29
n-MethylAniline,CNc1ccccc1,5.96
n-MethylFormamide-mixture,CNC=O,181.56
"n,n-DiMethylAcetamide",CN(C)C(C)=O,37.781
"n,n-DiMethylFormamide",CN(C)C=O,37.219
n-Nonane,CCCCCCCCC,1.9605
n-Octane,CCCCCCCC,1.9406
n-Pentadecane,CCCCCCCCCCCCCCC,2.0333
n-Pentane,CCCCC,1.8371
n-Undecane,CCCCCCCCCCC,1.991
o-ChloroToluene,Cc1ccccc1Cl,4.6331
o-Cresol,Cc1ccccc1O,6.76
o-DiChloroBenzene,Clc1ccccc1Cl,9.9949
o-NitroToluene,Cc1ccccc1[N+]([O-])=O,25.669
o-Xylene,Cc1ccccc1C,2.5454
Pentanal,CCCCC=O,10
PentanoicAcid,CCCCC(O)=O,2.6924
PentylAmine,CCCCCN,4.201
PentylEthanoate,CCCCCOC(C)=O,4.7297
PerFluoroBenzene,Fc1c(F)c(F)c(F)c(F)c1F,2.029
p-IsoPropylToluene,CC(C)c1ccc(C)cc1,2.2322
Propanal,CCC=O,18.5
PropanoicAcid,CCC(O)=O,3.44
PropanoNitrile,CCC#N,29.324
PropylAmine,CCCN,4.9912
PropylEthanoate,CCCOC(C)=O,5.5205
p-Xylene,Cc1ccc(C)cc1,2.2705
Pyridine,c1ccncc1,12.978
sec-ButylBenzene,CCC(C)c1ccccc1,2.3446
tert-ButylBenzene,CC(C)(C)c1ccccc1,2.3447
TetraChloroEthene,ClC(Cl)=C(Cl)Cl,2.268
"TetraHydroThiophene-s,s-dioxide",O=[S]1(=O)CCCC1,43.962
Tetralin,C1CCc2ccccc2C1,2.771
Thiophene,s1cccc1,2.727
Thiophenol,Sc1ccccc1,4.2728
trans-Decalin,C1CC[C@@H]2CCCC[C@H]2C1,2.1781
TriButylPhosphate,CCCCO[P](=O)(OCCCC)OCCCC,8.1781
TriChloroEthene,ClC=C(Cl)Cl,3.422
TriEthylAmine,CCN(CC)CC,2.3832
Xylene-mixture,Cc1ccccc1C,2.3879
"z-1,2-DiChloroEthene",Cl\C=C/Cl,9.2
